"","X","gender","educ","ideo5","hardtorelate","angry","age","republican","democrat"
"418",418,1,4,3,1,4,62,0,1
"419",419,0,2,2,0,5,33,0,0
"420",420,1,3,3,0,1,64,0,0
"421",421,1,3,4,0,3,43,1,0
"422",422,0,2,2,0,5,65,1,0
"423",423,1,2,3,0,1,35,0,0
"424",424,0,3,5,1,5,69,1,0
"425",425,0,2,2,0,5,30,0,0
"426",426,1,3,1,1,5,45,0,1
"427",427,0,3,1,1,4,22,0,0
"428",428,0,3,3,0,3,36,0,1
"429",429,0,6,4,0,5,56,1,0
"430",430,0,3,3,1,4,37,0,1
"431",431,1,2,NA,1,1,40,0,0
"432",432,0,4,3,1,5,56,1,0
"433",433,1,5,NA,0,1,38,0,0
"434",434,0,2,4,1,4,55,1,0
"435",435,1,2,NA,0,4,27,0,0
"436",436,0,3,NA,0,5,38,0,0
"437",437,0,2,5,1,4,59,1,0
"438",438,0,2,5,0,5,59,0,0
"439",439,1,5,NA,0,5,47,0,0
"440",440,1,3,4,0,4,29,1,0
"441",441,1,3,3,0,5,53,0,0
"442",442,0,3,1,1,4,64,0,1
"443",443,1,1,3,0,1,40,0,1
"444",444,0,4,4,0,3,36,0,1
"445",445,0,5,1,1,3,25,0,1
"446",446,1,5,3,0,5,31,0,0
"447",447,1,2,5,1,4,45,0,1
"448",448,0,2,NA,0,3,38,0,0
"449",449,1,2,4,1,5,71,0,0
"450",450,1,5,5,1,4,63,1,0
"451",451,1,3,1,1,5,27,0,0
"452",452,1,3,NA,0,2,31,1,0
"453",453,1,2,3,0,3,21,0,0
"454",454,0,4,3,1,5,30,0,0
"455",455,1,5,3,0,5,36,0,1
"456",456,0,2,3,1,5,23,0,1
"457",457,0,3,4,0,5,82,0,0
"458",458,1,3,2,0,5,20,0,1
"459",459,1,3,1,1,4,26,0,0
"460",460,1,1,NA,0,3,44,0,0
"461",461,1,5,2,1,5,34,0,0
"462",462,0,2,3,0,5,58,0,1
"463",463,0,3,2,0,5,35,0,0
"464",464,0,2,NA,1,1,28,0,1
"465",465,1,4,3,1,4,61,0,0
"466",466,1,1,4,0,1,58,1,0
"467",467,0,2,3,0,5,68,0,1
"468",468,1,4,4,1,4,50,1,0
"469",469,0,3,1,0,5,34,0,0
"470",470,1,3,NA,1,4,26,0,0
"471",471,0,3,1,1,5,55,0,1
"472",472,1,2,5,1,4,70,1,0
"473",473,1,2,1,0,5,46,0,1
"474",474,0,4,4,1,4,75,1,0
"475",475,0,3,2,0,4,25,0,0
"476",476,0,5,2,1,5,35,0,0
"477",477,0,2,1,0,5,40,0,0
"478",478,1,4,1,0,4,37,0,1
"479",479,0,1,NA,0,5,35,0,0
"480",480,1,6,2,0,3,52,0,0
"481",481,1,2,4,1,5,55,1,0
"482",482,1,4,2,1,5,37,0,0
"483",483,1,5,2,0,5,75,0,0
"484",484,1,3,3,1,4,62,0,1
"485",485,1,2,3,1,4,60,1,0
"486",486,0,3,1,0,5,32,0,1
"487",487,1,5,2,0,5,79,0,1
"488",488,1,3,5,1,4,50,1,0
"489",489,1,5,2,0,5,60,0,1
"490",490,0,5,3,0,4,35,0,0
"491",491,0,4,4,1,4,40,1,0
"492",492,0,5,4,0,3,36,1,0
"493",493,1,3,2,1,5,71,0,1
"494",494,1,4,5,1,5,29,1,0
"495",495,0,6,1,1,5,30,0,1
"496",496,1,5,2,1,5,58,0,1
"497",497,1,2,4,1,4,73,0,1
"498",498,1,5,3,0,2,23,0,0
"499",499,1,2,NA,1,4,27,0,0
"500",500,1,5,5,1,5,30,1,0
"501",501,1,5,1,1,5,59,0,1
"502",502,1,2,1,1,5,45,0,1
"503",503,1,2,1,0,5,60,0,1
"504",504,0,6,3,1,4,78,0,0
"505",505,0,2,4,1,5,57,1,0
"506",506,0,2,1,1,5,45,0,1
"507",507,1,6,1,1,4,35,0,1
"508",508,1,2,1,1,5,33,0,1
"509",509,1,2,4,0,5,47,1,0
"510",510,0,5,3,1,3,59,0,1
"511",511,1,2,4,1,1,46,0,1
"512",512,0,2,3,1,3,50,0,0
"513",513,1,5,NA,0,5,37,0,1
"514",514,0,2,3,0,4,35,0,1
"515",515,1,4,4,0,5,39,0,1
"516",516,0,2,5,1,4,71,1,0
"517",517,1,6,4,0,5,45,1,0
"518",518,1,3,NA,0,1,38,0,0
"519",519,1,4,NA,0,1,22,0,0
"520",520,0,4,NA,1,4,26,0,0
"521",521,1,3,5,1,5,37,1,0
"522",522,1,4,3,0,3,53,0,0
"523",523,0,3,3,1,4,20,0,0
"524",524,0,5,5,1,5,37,1,0
"525",525,1,2,NA,1,1,21,0,0
"526",526,1,5,2,0,5,25,0,1
"527",527,1,3,2,1,4,21,0,0
"528",528,1,6,1,1,5,31,0,1
"529",529,1,4,1,1,5,28,0,1
"530",530,1,3,5,1,4,38,1,0
"531",531,1,2,5,1,4,61,1,0
"532",532,0,4,3,0,3,42,0,0
"533",533,0,4,1,0,5,31,0,1
"534",534,0,2,3,0,5,44,0,1
"535",535,0,2,NA,1,4,26,0,0
"536",536,0,2,5,1,5,56,0,0
"537",537,1,3,1,0,5,52,0,1
"538",538,0,3,3,0,3,70,0,1
"539",539,0,2,4,0,5,48,1,0
"540",540,0,3,3,0,5,23,0,0
"541",541,1,2,3,1,1,56,0,0
"542",542,0,2,3,0,3,51,0,1
"543",543,0,4,2,1,5,52,0,1
"544",544,1,4,2,0,3,33,0,1
"545",545,0,2,4,1,5,33,1,0
"546",546,0,3,3,1,4,18,1,0
"547",547,1,3,3,1,3,19,0,0
"548",548,1,5,4,1,5,56,0,1
"549",549,1,6,2,1,4,31,0,0
"550",550,1,5,4,1,5,71,0,1
"551",551,1,3,3,1,5,38,0,0
"552",552,1,3,NA,0,5,42,0,0
"553",553,0,3,4,0,2,25,0,0
"554",554,1,5,NA,0,1,26,0,0
"555",555,1,2,3,1,5,68,0,1
"556",556,1,5,3,0,5,39,0,0
"557",557,0,2,4,1,2,22,0,1
"558",558,0,5,4,0,5,60,1,0
"559",559,0,3,3,0,3,42,0,1
"560",560,1,5,1,0,5,53,0,1
"561",561,0,6,2,1,2,23,0,0
"562",562,0,1,3,0,1,33,0,0
"563",563,0,4,2,1,5,32,0,1
