"","id","country","commie","me_nafr","ssafrica","asia","latin","female_vote","female_voteMOD","female_min","female_seats","female_seats95","gender_rights","laborfemaleMOD","closed_list","PR","polity","gdpcap2000","oil","zislam","female_seats_15"
"52","ETH","Ethiopia",0,0,1,0,0,1955,1955,0.1,7.7,2,NA,3.704106092453,NA,0,0.909090936183929,97.640495300293,0,0.21905717253685,0
"53","FIN","Finland",0,0,0,0,0,1906,1906,0.5,37.5,33.5,NA,45.5309944152832,0,1,10,21095.35546875,0,-0.718685388565063,1
"54","FJI","Fiji",0,0,0,0,0,1963,1963,0.1,8.5,4.30000019073486,NA,29.320779800415,NA,0,5.09090900421143,2017.4716796875,0,-0.527448832988739,0
"55","FRA","France",0,0,0,0,0,1944,1944,0.2,12.2,6.40000009536743,NA,44.471378326416,NA,0,9,21046.888671875,28.663969039917,-0.526125431060791,0
"56","GAB","Gabon",0,0,1,0,0,1956,1956,0.1,9.2,NA,NA,44.406681060791,NA,0,-4,4022.00146484375,2318.50659179688,-0.601275026798248,0
"57","GBR","United Kingdom",0,0,0,0,0,1918,1918,0.3,18.1,9.5,NA,43.0545539855957,NA,0,10,22965.94921875,445.155517578125,-0.667985439300537,1
"58","GEO","Georgia",1,0,0,0,0,1918,1918,0.2,9.4,6.80000019073486,NA,21.5582408905029,1,1,4.81818199157715,596.587036132812,4.97539043426514,-0.183353170752525,0
"59","GHA","Ghana",0,0,1,0,0,1954,1954,0.1,10.9,NA,NA,50.4379577636719,NA,0,2.27272725105286,246.057464599609,1.20559477806091,-0.177929580211639,0
"60","GIN","Guinea",0,0,1,0,0,1958,1958,0.2,19.3,7,NA,47.223503112793,1,1,-1.72727274894714,405.682678222656,0,1.17148673534393,1
"61","GMB","Gambia",0,0,1,0,0,1960,1960,0.2,13.2,NA,NA,44.9134483337402,NA,NA,-4.27272748947144,312.914642333984,0,1.71141803264618,0
"62","GNB","Guinea-Bissau",0,0,1,0,0,1977,1977,0.4,14,10,NA,40.5273170471191,NA,NA,2.81818175315857,166.030715942383,0,0.40747344493866,0
